input	lexeme	candidate	obs.prob	tab.prob	beA	beB
word64	A	B	0	3	1	0
word65	A	A	1	26	0	1
word65	A	B	0	26	1	0
word66	A	A	1	92	0	1
word66	A	B	0	92	1	0
word67	A	A	1	1383	0	1
word67	A	B	0	1383	1	0
word68	A	A	1	219	0	1
word68	A	B	0	219	1	0
word69	A	A	1	334	0	1
word69	A	B	0	334	1	0
word70	A	A	1	116	0	1
word70	A	B	0	116	1	0
word71	A	A	1	1590	0	1
word71	A	B	0	1590	1	0
word72	A	A	1	3917	0	1
word72	A	B	0	3917	1	0
word73	A	A	1	16	0	1
word73	A	B	0	16	1	0
word74	A	A	1	2051	0	1
word74	A	B	0	2051	1	0
word75	A	A	1	248	0	1
word75	A	B	0	248	1	0
word76	A	A	1	280	0	1
word76	A	B	0	280	1	0
word77	A	A	1	1	0	1
word77	A	B	0	1	1	0
word78	A	A	1	2	0	1
word78	A	B	0	2	1	0
word79	A	A	1	1	0	1
word79	A	B	0	1	1	0
word80	A	A	1	38	0	1
word80	A	B	0	38	1	0
word81	A	A	1	922	0	1
word81	A	B	0	922	1	0
word82	A	A	1	9	0	1
word82	A	B	0	9	1	0
word83	A	A	1	239	0	1
word83	A	B	0	239	1	0
word84	A	A	1	10	0	1
word84	A	B	0	10	1	0
word85	A	A	1	56	0	1
word85	A	B	0	56	1	0
word86	A	A	1	3	0	1
word86	A	B	0	3	1	0
word87	A	A	1	1	0	1
word87	A	B	0	1	1	0
word88	A	A	1	17	0	1
word88	A	B	0	17	1	0
word89	A	A	1	17	0	1
word89	A	B	0	17	1	0
word90	A	A	1	2	0	1
word90	A	B	0	2	1	0
word91	A	A	1	56	0	1
word91	A	B	0	56	1	0
word92	A	A	1	2	0	1
word92	A	B	0	2	1	0
word93	A	A	1	338	0	1
word93	A	B	0	338	1	0
word94	A	A	1	1	0	1
word94	A	B	0	1	1	0
word95	A	A	1	4	0	1
word95	A	B	0	4	1	0
word96	A	A	1	20	0	1
word96	A	B	0	20	1	0
word97	A	A	1	1	0	1
word97	A	B	0	1	1	0
word98	A	A	1	266	0	1
word98	A	B	0	266	1	0
word99	A	A	1	4	0	1
word99	A	B	0	4	1	0
word100	A	A	1	78	0	1
word100	A	B	0	78	1	0
word101	A	A	1	4105	0	1
word101	A	B	0	4105	1	0
word102	A	A	1	8	0	1
word102	A	B	0	8	1	0
word103	A	A	1	125	0	1
word103	A	B	0	125	1	0
word104	A	A	1	6	0	1
word104	A	B	0	6	1	0
word105	A	A	1	21	0	1
word105	A	B	0	21	1	0
word106	A	A	1	65	0	1
word106	A	B	0	65	1	0
word107	A	A	1	2	0	1
word107	A	B	0	2	1	0
word108	A	A	1	1	0	1
word108	A	B	0	1	1	0
word109	A	A	1	29	0	1
word109	A	B	0	29	1	0
word110	A	A	1	3	0	1
word110	A	B	0	3	1	0
word111	A	A	1	1	0	1
word111	A	B	0	1	1	0
word112	A	A	1	1	0	1
word112	A	B	0	1	1	0
word113	A	A	1	364	0	1
word113	A	B	0	364	1	0
word114	A	A	1	406	0	1
word114	A	B	0	406	1	0
word115	A	A	1	773	0	1
word115	A	B	0	773	1	0
word116	A	A	1	4	0	1
word116	A	B	0	4	1	0
word117	A	A	1	5086	0	1
word117	A	B	0	5086	1	0
word118	A	A	1	2	0	1
word118	A	B	0	2	1	0
word119	A	A	1	179	0	1
word119	A	B	0	179	1	0
word120	A	A	1	9	0	1
word120	A	B	0	9	1	0
word121	A	A	1	1	0	1
word121	A	B	0	1	1	0
word122	A	A	1	110	0	1
word122	A	B	0	110	1	0
word123	A	A	1	1	0	1
word123	A	B	0	1	1	0
word124	A	A	1	1	0	1
word124	A	B	0	1	1	0
word125	A	A	1	27	0	1
word125	A	B	0	27	1	0
word126	A	A	1	255	0	1
word126	A	B	0	255	1	0
word127	A	A	1	121	0	1
word127	A	B	0	121	1	0
word128	A	A	1	2	0	1
word128	A	B	0	2	1	0
word129	A	A	1	225	0	1
word129	A	B	0	225	1	0
word130	A	A	1	617	0	1
word130	A	B	0	617	1	0
word131	A	A	1	1	0	1
word131	A	B	0	1	1	0
word132	A	A	1	15	0	1
word132	A	B	0	15	1	0
word133	A	A	1	3	0	1
word133	A	B	0	3	1	0
word134	A	A	1	96	0	1
word134	A	B	0	96	1	0
word135	A	A	1	1	0	1
word135	A	B	0	1	1	0
word136	A	A	1	105	0	1
word136	A	B	0	105	1	0
word137	A	A	1	6	0	1
word137	A	B	0	6	1	0
word138	A	A	1	4	0	1
word138	A	B	0	4	1	0
word139	A	A	1	214	0	1
word139	A	B	0	214	1	0
word140	A	A	1	50	0	1
word140	A	B	0	50	1	0
word141	A	A	1	6	0	1
word141	A	B	0	6	1	0
word142	A	A	1	21	0	1
word142	A	B	0	21	1	0
word143	A	A	1	20	0	1
word143	A	B	0	20	1	0
word144	A	A	1	3	0	1
word144	A	B	0	3	1	0
word145	A	A	1	460	0	1
word145	A	B	0	460	1	0
word146	A	A	1	1	0	1
word146	A	B	0	1	1	0
word147	A	A	1	4	0	1
word147	A	B	0	4	1	0
word148	A	A	1	3	0	1
word148	A	B	0	3	1	0
word149	A	A	1	5595	0	1
word149	A	B	0	5595	1	0
word150	A	A	1	50	0	1
word150	A	B	0	50	1	0
word151	A	A	1	4	0	1
word151	A	B	0	4	1	0
word152	A	A	1	4	0	1
word152	A	B	0	4	1	0
word153	A	A	1	4	0	1
word153	A	B	0	4	1	0
word154	A	A	1	2	0	1
word154	A	B	0	2	1	0
word155	A	A	1	1	0	1
word155	A	B	0	1	1	0
word156	A	A	1	1441	0	1
word156	A	B	0	1441	1	0
word157	A	A	1	29	0	1
word157	A	B	0	29	1	0
word158	A	A	1	1	0	1
word158	A	B	0	1	1	0
word159	A	A	1	19	0	1
word159	A	B	0	19	1	0
word160	A	A	1	1	0	1
word160	A	B	0	1	1	0
word161	A	A	1	20	0	1
word161	A	B	0	20	1	0
word162	A	A	1	6	0	1
word162	A	B	0	6	1	0
word163	A	A	1	1	0	1
word163	A	B	0	1	1	0
word164	A	A	1	1450	0	1
word164	A	B	0	1450	1	0
word165	A	A	1	10	0	1
word165	A	B	0	10	1	0
word166	A	A	1	10	0	1
word166	A	B	0	10	1	0
word167	A	A	1	1	0	1
word167	A	B	0	1	1	0
word168	A	A	1	2	0	1
word168	A	B	0	2	1	0
word169	A	A	1	72	0	1
word169	A	B	0	72	1	0
word170	A	A	1	50	0	1
word170	A	B	0	50	1	0
word171	A	A	1	24	0	1
word171	A	B	0	24	1	0
word172	A	A	1	1	0	1
word172	A	B	0	1	1	0
word173	A	A	1	4877	0	1
word173	A	B	0	4877	1	0
word174	A	A	1	5	0	1
word174	A	B	0	5	1	0
word175	A	A	1	1	0	1
word175	A	B	0	1	1	0
word176	A	A	1	4	0	1
word176	A	B	0	4	1	0
word177	A	A	1	16	0	1
word177	A	B	0	16	1	0
word178	A	A	1	1089	0	1
word178	A	B	0	1089	1	0
word179	A	A	1	3	0	1
word179	A	B	0	3	1	0
word180	A	A	1	695	0	1
word180	A	B	0	695	1	0
word181	A	A	1	13	0	1
word181	A	B	0	13	1	0
word182	A	A	1	1	0	1
word182	A	B	0	1	1	0
word183	A	A	1	12	0	1
word183	A	B	0	12	1	0
word184	A	A	1	2	0	1
word184	A	B	0	2	1	0
word185	A	A	1	1	0	1
word185	A	B	0	1	1	0
word186	A	A	1	24	0	1
word186	A	B	0	24	1	0
word187	A	A	1	21	0	1
word187	A	B	0	21	1	0
word188	A	A	1	15	0	1
word188	A	B	0	15	1	0
word189	A	A	1	2411	0	1
word189	A	B	0	2411	1	0
word190	A	A	1	2	0	1
word190	A	B	0	2	1	0
word191	A	A	1	1	0	1
word191	A	B	0	1	1	0
word192	A	A	1	334	0	1
word192	A	B	0	334	1	0
word193	A	A	1	1	0	1
word193	A	B	0	1	1	0
word194	A	A	1	346	0	1
word194	A	B	0	346	1	0
word195	A	A	1	22	0	1
word195	A	B	0	22	1	0
word196	A	A	1	251	0	1
word196	A	B	0	251	1	0
word197	A	A	1	26	0	1
word197	A	B	0	26	1	0
word198	A	A	1	101	0	1
word198	A	B	0	101	1	0
word199	A	A	1	2835	0	1
word199	A	B	0	2835	1	0
word200	A	A	1	18	0	1
word200	A	B	0	18	1	0
word201	A	A	1	1	0	1
word201	A	B	0	1	1	0
word202	A	A	1	101	0	1
word202	A	B	0	101	1	0
word203	A	A	1	55	0	1
word203	A	B	0	55	1	0
word204	A	A	1	2	0	1
word204	A	B	0	2	1	0
word205	A	A	1	1	0	1
word205	A	B	0	1	1	0
word206	A	A	1	21	0	1
word206	A	B	0	21	1	0
word207	A	A	1	311	0	1
word207	A	B	0	311	1	0
word208	A	A	1	19	0	1
word208	A	B	0	19	1	0
word209	A	A	1	5946	0	1
word209	A	B	0	5946	1	0
word210	A	A	1	504	0	1
word210	A	B	0	504	1	0
word211	A	A	1	20	0	1
word211	A	B	0	20	1	0
word212	A	A	1	42	0	1
word212	A	B	0	42	1	0
word213	A	A	1	1	0	1
word213	A	B	0	1	1	0
word214	A	A	1	15	0	1
word214	A	B	0	15	1	0
word215	A	A	1	33	0	1
word215	A	B	0	33	1	0
word216	A	A	1	4699	0	1
word216	A	B	0	4699	1	0
word217	A	A	1	174	0	1
word217	A	B	0	174	1	0
word218	A	A	1	2	0	1
word218	A	B	0	2	1	0
word219	A	A	1	31	0	1
word219	A	B	0	31	1	0
word220	A	A	1	262	0	1
word220	A	B	0	262	1	0
word221	A	A	1	1	0	1
word221	A	B	0	1	1	0
word222	A	A	1	80	0	1
word222	A	B	0	80	1	0
word223	A	A	1	16	0	1
word223	A	B	0	16	1	0
word224	A	A	1	42	0	1
word224	A	B	0	42	1	0
word225	A	A	1	1	0	1
word225	A	B	0	1	1	0
word226	A	A	1	1	0	1
word226	A	B	0	1	1	0
word227	A	A	1	3411	0	1
word227	A	B	0	3411	1	0
word228	A	A	1	168	0	1
word228	A	B	0	168	1	0
word229	A	A	1	1	0	1
word229	A	B	0	1	1	0
word230	A	A	1	2	0	1
word230	A	B	0	2	1	0
word231	A	A	1	388	0	1
word231	A	B	0	388	1	0
word232	A	A	1	6	0	1
word232	A	B	0	6	1	0
word233	A	A	1	636	0	1
word233	A	B	0	636	1	0
word234	A	A	1	1	0	1
word234	A	B	0	1	1	0
word235	A	A	1	38	0	1
word235	A	B	0	38	1	0
word236	A	A	1	34	0	1
word236	A	B	0	34	1	0
word237	A	A	1	1	0	1
word237	A	B	0	1	1	0
word238	A	A	1	7	0	1
word238	A	B	0	7	1	0
word239	A	A	1	2	0	1
word239	A	B	0	2	1	0
word240	A	A	1	27	0	1
word240	A	B	0	27	1	0
word241	A	A	1	1	0	1
word241	A	B	0	1	1	0
word242	A	A	1	8	0	1
word242	A	B	0	8	1	0
word243	A	A	1	1	0	1
word243	A	B	0	1	1	0
word244	A	A	1	1	0	1
word244	A	B	0	1	1	0
word245	A	A	1	779	0	1
word245	A	B	0	779	1	0
word246	A	A	1	1	0	1
word246	A	B	0	1	1	0
word247	A	A	1	4	0	1
word247	A	B	0	4	1	0
word248	A	A	1	359	0	1
word248	A	B	0	359	1	0
word249	A	A	1	3	0	1
word249	A	B	0	3	1	0
word250	A	A	1	621	0	1
word250	A	B	0	621	1	0
word251	A	A	1	73	0	1
word251	A	B	0	73	1	0
word252	A	A	1	19	0	1
word252	A	B	0	19	1	0
word253	A	A	1	5	0	1
word253	A	B	0	5	1	0
word254	A	A	1	3796	0	1
word254	A	B	0	3796	1	0
word255	A	A	1	3	0	1
word255	A	B	0	3	1	0
word256	A	A	1	102	0	1
word256	A	B	0	102	1	0
word257	A	A	1	1	0	1
word257	A	B	0	1	1	0
word258	A	A	1	10	0	1
word258	A	B	0	10	1	0
word259	A	A	1	4	0	1
word259	A	B	0	4	1	0
word260	A	A	1	5	0	1
word260	A	B	0	5	1	0
word261	A	A	1	4	0	1
word261	A	B	0	4	1	0
word262	A	A	1	6	0	1
word262	A	B	0	6	1	0
word263	A	A	1	52	0	1
word263	A	B	0	52	1	0
word264	A	A	1	1	0	1
word264	A	B	0	1	1	0
word265	A	A	1	1	0	1
word265	A	B	0	1	1	0
word266	A	A	1	1	0	1
word266	A	B	0	1	1	0
word267	A	A	1	54	0	1
word267	A	B	0	54	1	0
word268	A	A	1	56	0	1
word268	A	B	0	56	1	0
word269	A	A	1	137	0	1
word269	A	B	0	137	1	0
word270	A	A	1	2	0	1
word270	A	B	0	2	1	0
word271	A	A	1	3990	0	1
word271	A	B	0	3990	1	0
word272	A	A	1	2	0	1
word272	A	B	0	2	1	0
word273	A	A	1	1	0	1
word273	A	B	0	1	1	0
word274	A	A	1	12	0	1
word274	A	B	0	12	1	0
word275	A	A	1	3	0	1
word275	A	B	0	3	1	0
word276	A	A	1	1090	0	1
word276	A	B	0	1090	1	0
word277	A	A	1	7270	0	1
word277	A	B	0	7270	1	0
word278	A	A	1	1	0	1
word278	A	B	0	1	1	0
word279	A	A	1	6	0	1
word279	A	B	0	6	1	0
word280	A	A	1	53	0	1
word280	A	B	0	53	1	0
word281	A	A	1	10	0	1
word281	A	B	0	10	1	0
word282	A	A	1	2	0	1
word282	A	B	0	2	1	0
word283	A	A	1	4	0	1
word283	A	B	0	4	1	0
word284	A	A	1	129	0	1
word284	A	B	0	129	1	0
word285	A	A	1	1031	0	1
word285	A	B	0	1031	1	0
word286	A	A	1	419	0	1
word286	A	B	0	419	1	0
word287	A	A	1	3	0	1
word287	A	B	0	3	1	0
word288	A	A	1	33	0	1
word288	A	B	0	33	1	0
word289	A	A	1	146	0	1
word289	A	B	0	146	1	0
word290	A	A	1	1	0	1
word290	A	B	0	1	1	0
word291	A	A	1	710	0	1
word291	A	B	0	710	1	0
word292	A	A	1	1	0	1
word292	A	B	0	1	1	0
word293	A	A	1	183	0	1
word293	A	B	0	183	1	0
word294	A	A	1	11	0	1
word294	A	B	0	11	1	0
word295	A	A	1	7	0	1
word295	A	B	0	7	1	0
word296	A	A	1	14	0	1
word296	A	B	0	14	1	0
word297	A	A	1	34	0	1
word297	A	B	0	34	1	0
word298	A	A	1	2	0	1
word298	A	B	0	2	1	0
word299	A	A	1	4	0	1
word299	A	B	0	4	1	0
word300	A	A	1	1	0	1
word300	A	B	0	1	1	0
word301	A	A	1	7	0	1
word301	A	B	0	7	1	0
word302	A	A	1	9	0	1
word302	A	B	0	9	1	0
word303	A	A	1	774	0	1
word303	A	B	0	774	1	0
word304	A	A	1	9	0	1
word304	A	B	0	9	1	0
word305	A	A	1	30	0	1
word305	A	B	0	30	1	0
word306	A	A	1	13	0	1
word306	A	B	0	13	1	0
word307	A	A	1	617	0	1
word307	A	B	0	617	1	0
word308	A	A	1	70	0	1
word308	A	B	0	70	1	0
word309	A	A	1	1	0	1
word309	A	B	0	1	1	0
word310	A	A	1	508	0	1
word310	A	B	0	508	1	0
word311	A	A	1	12	0	1
word311	A	B	0	12	1	0
word312	A	A	1	5	0	1
word312	A	B	0	5	1	0
word313	A	A	1	1	0	1
word313	A	B	0	1	1	0
word314	A	A	1	1	0	1
word314	A	B	0	1	1	0
word315	A	A	1	1	0	1
word315	A	B	0	1	1	0
word316	A	A	1	3	0	1
word316	A	B	0	3	1	0
word317	A	A	1	136	0	1
word317	A	B	0	136	1	0
word318	A	A	1	6	0	1
word318	A	B	0	6	1	0
word319	A	A	1	13	0	1
word319	A	B	0	13	1	0
word320	A	A	1	2	0	1
word320	A	B	0	2	1	0
word321	A	A	1	2	0	1
word321	A	B	0	2	1	0
word322	A	A	1	1	0	1
word322	A	B	0	1	1	0
word323	A	A	1	20	0	1
word323	A	B	0	20	1	0
word324	A	A	1	1	0	1
word324	A	B	0	1	1	0
word325	A	A	1	5	0	1
word325	A	B	0	5	1	0
word326	A	A	1	11	0	1
word326	A	B	0	11	1	0
word327	A	A	1	11	0	1
word327	A	B	0	11	1	0
word328	A	A	1	1	0	1
word328	A	B	0	1	1	0
word329	A	A	1	57	0	1
word329	A	B	0	57	1	0
word330	A	A	1	270	0	1
word330	A	B	0	270	1	0
word331	A	A	1	3	0	1
word331	A	B	0	3	1	0
word332	A	A	1	7	0	1
word332	A	B	0	7	1	0
word333	A	A	1	4531	0	1
word333	A	B	0	4531	1	0
word334	A	A	1	1	0	1
word334	A	B	0	1	1	0
word335	A	A	1	2	0	1
word335	A	B	0	2	1	0
word336	A	A	1	1	0	1
word336	A	B	0	1	1	0
word337	A	A	1	2	0	1
word337	A	B	0	2	1	0
word338	A	A	1	300	0	1
word338	A	B	0	300	1	0
word339	A	A	1	983	0	1
word339	A	B	0	983	1	0
word340	A	A	1	30	0	1
word340	A	B	0	30	1	0
word341	A	A	1	373	0	1
word341	A	B	0	373	1	0
word342	A	A	1	8	0	1
word342	A	B	0	8	1	0
word343	A	A	1	7	0	1
word343	A	B	0	7	1	0
word344	A	A	1	254	0	1
word344	A	B	0	254	1	0
word345	A	A	1	510	0	1
word345	A	B	0	510	1	0
word346	A	A	1	2	0	1
word346	A	B	0	2	1	0
word347	A	A	1	114	0	1
word347	A	B	0	114	1	0
word348	A	A	1	4	0	1
word348	A	B	0	4	1	0
word349	A	A	1	4	0	1
word349	A	B	0	4	1	0
word350	A	A	1	1	0	1
word350	A	B	0	1	1	0
word351	A	A	1	6969	0	1
word351	A	B	0	6969	1	0
word352	A	A	1	9	0	1
word352	A	B	0	9	1	0
word353	A	A	1	3	0	1
word353	A	B	0	3	1	0
word354	A	A	1	2	0	1
word354	A	B	0	2	1	0
word355	A	A	1	30	0	1
word355	A	B	0	30	1	0
word356	A	A	1	82	0	1
word356	A	B	0	82	1	0
word357	A	A	1	819	0	1
word357	A	B	0	819	1	0
word358	A	A	1	1	0	1
word358	A	B	0	1	1	0
word359	A	A	1	3	0	1
word359	A	B	0	3	1	0
word360	A	A	1	3	0	1
word360	A	B	0	3	1	0
word361	A	A	1	705	0	1
word361	A	B	0	705	1	0
word362	A	A	1	1874	0	1
word362	A	B	0	1874	1	0
word363	A	A	1	1677	0	1
word363	A	B	0	1677	1	0
word364	A	A	1	71	0	1
word364	A	B	0	71	1	0
word365	A	A	1	8	0	1
word365	A	B	0	8	1	0
word366	A	A	1	197	0	1
word366	A	B	0	197	1	0
word367	A	A	1	44	0	1
word367	A	B	0	44	1	0
word368	A	A	1	4932	0	1
word368	A	B	0	4932	1	0
word369	A	A	1	3	0	1
word369	A	B	0	3	1	0
word370	A	A	1	14	0	1
word370	A	B	0	14	1	0
word371	A	A	1	51	0	1
word371	A	B	0	51	1	0
word372	A	A	1	72	0	1
word372	A	B	0	72	1	0
word373	A	A	1	2	0	1
word373	A	B	0	2	1	0
word374	A	A	1	1016	0	1
word374	A	B	0	1016	1	0
word375	A	A	1	3	0	1
word375	A	B	0	3	1	0
word376	A	A	1	81	0	1
word376	A	B	0	81	1	0
word377	A	A	1	2	0	1
word377	A	B	0	2	1	0
word378	A	A	1	1	0	1
word378	A	B	0	1	1	0
word379	A	A	1	148	0	1
word379	A	B	0	148	1	0
word380	A	A	1	436	0	1
word380	A	B	0	436	1	0
word381	A	A	1	1	0	1
word381	A	B	0	1	1	0
word382	A	A	1	1	0	1
word382	A	B	0	1	1	0
word383	A	A	1	2	0	1
word383	A	B	0	2	1	0
word384	A	A	1	2	0	1
word384	A	B	0	2	1	0
word385	A	A	1	7	0	1
word385	A	B	0	7	1	0
word386	A	A	1	1	0	1
word386	A	B	0	1	1	0
word387	A	A	1	1	0	1
word387	A	B	0	1	1	0
word388	A	A	1	2	0	1
word388	A	B	0	2	1	0
word389	A	A	1	12	0	1
word389	A	B	0	12	1	0
word390	A	A	1	4	0	1
word390	A	B	0	4	1	0
word391	A	A	1	1068	0	1
word391	A	B	0	1068	1	0
word392	A	A	1	271	0	1
word392	A	B	0	271	1	0
word393	A	A	1	370	0	1
word393	A	B	0	370	1	0
word394	A	A	1	2	0	1
word394	A	B	0	2	1	0
word395	A	A	1	3	0	1
word395	A	B	0	3	1	0
word396	A	A	1	8	0	1
word396	A	B	0	8	1	0
word397	A	A	1	3	0	1
word397	A	B	0	3	1	0
word398	A	A	1	1	0	1
word398	A	B	0	1	1	0
word399	A	A	1	6	0	1
word399	A	B	0	6	1	0
word400	A	A	1	1261	0	1
word400	A	B	0	1261	1	0
word401	A	A	1	28	0	1
word401	A	B	0	28	1	0
word402	A	A	1	7	0	1
word402	A	B	0	7	1	0
word403	A	A	1	52	0	1
word403	A	B	0	52	1	0
word404	A	A	1	1	0	1
word404	A	B	0	1	1	0
word405	A	A	1	8810	0	1
word405	A	B	0	8810	1	0
word406	A	A	1	2757	0	1
word406	A	B	0	2757	1	0
word407	A	A	1	179	0	1
word407	A	B	0	179	1	0
word408	A	A	1	3	0	1
word408	A	B	0	3	1	0
word409	A	A	1	2	0	1
word409	A	B	0	2	1	0
word410	A	A	1	1913	0	1
word410	A	B	0	1913	1	0
word411	A	A	1	1	0	1
word411	A	B	0	1	1	0
word412	A	A	1	4	0	1
word412	A	B	0	4	1	0
word413	A	A	1	425	0	1
word413	A	B	0	425	1	0
word414	A	A	1	2	0	1
word414	A	B	0	2	1	0
word415	A	A	1	126	0	1
word415	A	B	0	126	1	0
word416	A	A	1	2	0	1
word416	A	B	0	2	1	0
word417	A	A	1	13	0	1
word417	A	B	0	13	1	0
word418	A	A	1	1	0	1
word418	A	B	0	1	1	0
word419	A	A	1	30	0	1
word419	A	B	0	30	1	0
word420	A	A	1	216	0	1
word420	A	B	0	216	1	0
word421	A	A	1	134	0	1
word421	A	B	0	134	1	0
word422	A	A	1	29	0	1
word422	A	B	0	29	1	0
word423	A	A	1	1847	0	1
word423	A	B	0	1847	1	0
word424	A	A	1	977	0	1
word424	A	B	0	977	1	0
word425	A	A	1	89	0	1
word425	A	B	0	89	1	0
word426	A	A	1	1	0	1
word426	A	B	0	1	1	0
word427	A	A	1	3850	0	1
word427	A	B	0	3850	1	0
word428	A	A	1	2	0	1
word428	A	B	0	2	1	0
word429	A	A	1	32	0	1
word429	A	B	0	32	1	0
word430	A	A	1	8384	0	1
word430	A	B	0	8384	1	0
word431	A	A	1	66	0	1
word431	A	B	0	66	1	0
word432	A	A	1	44	0	1
word432	A	B	0	44	1	0
word433	A	A	1	16	0	1
word433	A	B	0	16	1	0
word434	A	A	1	3	0	1
word434	A	B	0	3	1	0
word435	A	A	1	1	0	1
word435	A	B	0	1	1	0
word436	A	A	1	5	0	1
word436	A	B	0	5	1	0
word437	A	A	1	2	0	1
word437	A	B	0	2	1	0
word438	A	A	1	2	0	1
word438	A	B	0	2	1	0
word439	A	A	1	60	0	1
word439	A	B	0	60	1	0
word440	A	A	1	153	0	1
word440	A	B	0	153	1	0
word441	A	A	1	1316	0	1
word441	A	B	0	1316	1	0
word442	A	A	1	210	0	1
word442	A	B	0	210	1	0
word443	A	A	1	5	0	1
word443	A	B	0	5	1	0
word444	A	A	1	2	0	1
word444	A	B	0	2	1	0
word445	A	A	1	73	0	1
word445	A	B	0	73	1	0
word446	A	A	1	17	0	1
word446	A	B	0	17	1	0
word447	A	A	1	1	0	1
word447	A	B	0	1	1	0
word448	A	A	1	1	0	1
word448	A	B	0	1	1	0
word449	A	A	1	1	0	1
word449	A	B	0	1	1	0
word450	A	A	1	2	0	1
word450	A	B	0	2	1	0
word451	A	A	1	12	0	1
word451	A	B	0	12	1	0
word452	A	A	1	1	0	1
word452	A	B	0	1	1	0
word453	A	A	1	1262	0	1
word453	A	B	0	1262	1	0
word454	A	A	1	5	0	1
word454	A	B	0	5	1	0
word455	A	A	1	1	0	1
word455	A	B	0	1	1	0
word456	A	A	1	91	0	1
word456	A	B	0	91	1	0
word457	A	A	1	1	0	1
word457	A	B	0	1	1	0
word458	A	A	1	1	0	1
word458	A	B	0	1	1	0
word459	A	A	1	1	0	1
word459	A	B	0	1	1	0
word460	A	A	1	1	0	1
word460	A	B	0	1	1	0
word461	A	A	1	1	0	1
word461	A	B	0	1	1	0
word462	A	A	1	4	0	1
